# COLDARRI   COLDARRX   COLDARRY   COLDARRZ
#
      1155       3.00         40    23.5471
      1158       3.60        220    92.2102
      1159       2.40         55    42.4187
      1160       2.50         75    15.3557
      1162       2.50        140    18.4228
      1164       4.30        110    66.2883
      1166       3.80        200    88.9485
      1169       4.30         40    37.1222
      1170       3.30         80    8.26755
      1171       2.00        170    27.2212
      1172       5.00         45    79.1882
      1176       5.30        285    92.1782
      1177       4.40        255     83.941
      1178       2.00        130    113.613
      1183       4.00         70     33.032
      1184       3.00        270    92.3349
      1185       2.60         60    55.9167
      1187       3.40        150    7.27128
      1188       2.40        165    73.3449
      1189       2.10        160    26.2024
      1191       3.80         75    17.7839
      1192       2.00        190    37.1687
      1193       5.50        140    95.2799
      1195       5.20        205    88.0468
      1196       4.00        155    56.2278
      1198       2.60        260    24.9884
      1199       2.10        105    29.6964
      1200       4.30        220       78.6
      1201       2.80        270    2.46373
      1203       3.80        200     51.684
      1204       2.50         40    19.5952
      1206       4.00        235    63.2644
      1210       2.00         90    44.7517
      1211       3.70        295    42.7688
      1215       2.10         85    40.2049
      1217       5.30        105    89.3451
      1218       3.10        170    3.15465
      1222       3.30        250    9.54201
      1223       3.50        280     80.167
      1224       2.40        245    45.9771
      1225       2.80         50    27.9097
      1226       4.00         45    45.7414
      1227       2.30        290    36.5127
      1230       2.50        115    53.2577
      1231       5.40        275    91.1316
      1233       5.20        225    89.6046
      1234       5.40        100    92.1274
      1237       2.20         95    28.4731
      1240       4.10         30    19.2117
      1242       4.20         40    30.3478
      1243       4.60        110    82.1444
      1244       2.40        210     24.468
      1245       4.00        165    63.9021
      1249       5.90        210     109.79
      1250       3.50        300      25.93
      1251       2.10        120    56.2976
      1256       2.20        215    48.2482
      1257       4.70        135    84.3861
      1258       3.20         55    70.2807
      1262       3.20        225     25.909
      1263       4.20        235    71.8364
      1265       4.90        300    88.6683
      1267       3.30        245    16.8935
      1269       4.20         35    25.5601
      1271       2.90         80     10.023
      1272       3.40         50    9.93059
      1273       5.30        225    91.5561
      1276       3.30        115    4.44911
      1277       3.20        300    8.30062
      1278       2.60        180    9.60439
      1279       4.90         80    80.6718
      1283       3.00        280    40.7966
      1285       3.70        155    25.8143
      1286       5.10        230    74.6154
      1288       4.00        185    58.9313
      1289       2.10         55    32.0046
      1296       3.50         80    71.8479
      1298       4.70         35    64.5239
      1299       3.50        175    42.0084
      1302       2.30        160     45.258
      1303       2.00        290    15.7546
      1306       4.50        100    79.2139
      1307       3.60        200    89.1512
      1308       3.90        240    82.5848
      1310       4.30        295    79.5773
      1311       3.20         30    2.25313
      1314       5.00         55    81.9619
      1316       2.90         85    38.0865
      1318       2.40        245    7.57132
      1319       2.00        155    9.86101
      1320       2.90         40    28.7344
      1321       3.60        185    24.1602
      1324       3.80         65    71.7255
      1325       2.70        185    6.51138
      1327       4.90         50    76.9396
