# WARMARRI   WARMARRX   WARMARRY   WARMARRZ
#
      1497       4.90        265      67.19
      1498       6.50        105      79.88
      1500       6.50        220    76.2381
      1502       4.40        170     46.812
      1504       6.20        250    5.29695
      1506       4.50        220     59.411
      1508       6.30        155    85.3979
      1510       3.70         70    87.4198
      1512       6.50        225    74.6847
      1516       6.50         45    63.6225
      1518       5.20        145    42.6183
      1519       6.20        185    40.7685
      1521       6.50        195    78.4834
      1522       5.90         95    39.0144
      1524       6.50        180    45.5307
      1525       5.60        300    4.75613
      1526       5.40         60    9.18047
      1529       3.40        190     97.806
      1530       6.50        160    2.18526
      1532       6.50         30    6.54064
      1533       5.50        220    92.0861
      1534       5.90        105    8.52668
      1537       5.50         35    8.20788
      1538       4.80        260    43.8628
      1540       5.90        145    22.9891
      1541       5.50         50     16.433
      1542       6.30        165    115.019
      1544       5.40        110    89.0343
      1545       6.40        230    11.0695
      1546       4.90         65    78.2463
      1548       6.50        285    14.5602
      1550       4.70        220     34.138
      1553       5.20        265     81.368
      1555       6.50        250    7.76811
      1556       5.60         40    88.9291
      1557       3.30        265     93.746
      1558       3.80         70    64.2363
      1559       6.50        125    23.4628
      1561       6.40         60    77.6448
      1562       6.30         25    54.6126
      1563       4.80        115    13.4942
      1564       3.50        245    94.3319
      1566       6.20         30     88.909
      1567       5.20         50    70.3694
      1568       5.50         75      17.04
      1573       4.50        100    32.7261
      1574       3.60        205    79.3992
      1577       6.50        245    74.7594
      1580       6.10        240    24.9543
      1582       6.00        150    3.31993
      1586       5.70         95    6.03132
      1587       5.40         90    86.2518
      1589       6.20        255    7.33586
      1590       6.50         80    86.9825
      1591       5.50         30    17.7847
      1592       6.50        160    6.89413
      1594       5.90        255     45.585
      1595       6.50        100    81.7583
      1597       4.80        200    110.788
      1598       4.90         50    28.7923
      1599       6.50         45    17.9597
      1600       6.50        135    74.4823
      1601       3.40        170     100.43
      1602       5.20         85     34.083
      1604       5.30        250    8.31142
      1605       6.50        235    88.8193
      1606       5.80        135    15.2219
      1607       4.80        285    49.3327
      1608       6.50         40    13.0403
      1609       4.20        245    68.3654
      1610       5.80        110    50.2723
      1611       4.10         85    39.1501
      1612       4.60         30    51.8262
      1613       3.40        275    89.1767
      1614       5.20        300    17.7075
      1619       3.70        290    83.3105
      1620       6.50        140    11.3852
      1621       6.50        190    9.35908
      1622       4.90        235    76.5158
      1623       6.50         90    17.6048
      1624       6.50        215    55.6083
      1627       6.50         75    7.61256
      1630       6.50        160    13.2203
      1632       6.50         65    83.9991
      1633       6.10         75    4.16247
      1634       5.40        215    31.2452
      1635       6.50         55    7.98151
      1636       5.40        185    2.85183
      1637       6.20        200    5.22656
      1639       4.90        135    13.9566
      1640       6.50        190    83.1019
      1641       4.30        300    47.3078
      1642       5.10         45    13.0329
      1645       6.50        155    66.5935
      1646       5.90         95    73.2627
      1649       6.40        270    69.3824
      1650       4.50        225    70.1503
      1651       6.50        295    36.0445
      1656       6.50        200    73.9112
      1658       5.50        140    4.59022
      1659       4.10         65    33.2807
      1661       5.60         60    54.9431
      1662       3.60        190    83.1342
      1664       4.00        165    49.2115
      1666       3.40        230    88.9993
      1668       5.00        200    24.3215
      1671       4.40         55    15.1618
      1672       5.40         35    28.2364
      1674       6.50         90     43.807
      1676       6.40        190    90.0678
      1679       4.30         45    14.4942
