#        i0           chi2        i1             a1        i2             a2        T_{kin}        n_{H_2}        M_{H_2}        T_{kin}        n_{H_2}        M_{H_2}
#
    2307802        106.896     17005        12.9277     43358              0            120        12589.2    2.98003e+08            270        63095.7    1.49355e+09
    3238894        17.0301     23883        24.6087     16378        3.81916            160        3162.28    7.48549e+07            115         251189    5.94594e+09
    5465313        172.809     40299              0     30723        576.041            255        316.228    7.48549e+06            200        501.187    1.18637e+07
     361195        276.553      2660              0     10545        4887.71             40        158.489    3.75163e+06             85        199.526    4.72302e+06
     882371        28.4765      6498        23.0701     26201        1.63216             60          10000    2.36712e+08            170    3.16228e+06    7.48549e+10
    4699267        85.7977     34656        1.97938     12217        4.45237            220         100000    2.36712e+09             90    3.16228e+06    7.48549e+10
    1795230        7.45378     13224        697.494     44346         2.1201            100        398.107    9.42367e+06            275         251189    5.94594e+09
    5372959        93.0399     39615        26.3227     37981         1.1629            250        3162.28    7.48549e+07            240        12589.2    2.98003e+08
    6300732        73.3543     46455        243.184     45828        4.40548            290        501.187    1.18637e+07            285          10000    2.36712e+08
     251543        79.6644      1843        1109.53     31749         31.599             35        316.228    7.48549e+06            205        3162.28    7.48549e+07
     125247        37.8079       912        8192.62     30381        3.31749             30        158.489    3.75163e+06            195         316228    7.48549e+09
     205389        95.9192      1501          47.16     35815              0             30         199526    4.72302e+09            225    3.16228e+06    7.48549e+10
    4226557        106.109     31160              0     36423        3.59256            200         100000    2.36712e+09            230         125892    2.98003e+09
    4472303        89.7564     32984        2.87473      6973        3.27527            210         251189    5.94594e+09             60    3.16228e+06    7.48549e+10
    2446187        85.2059     18031        4.74145     29697        1.27695            125        79432.8    1.88027e+09            190    3.16228e+06    7.48549e+10
     680743        103.568      5016        17.2026     12901       0.788704             50         251189    5.94594e+09             95         316228    7.48549e+09
     824825        106.698      6080          16.41      9595              0             55    2.51189e+06    5.94594e+10             75    3.16228e+06    7.48549e+10
     886235        45.3689      6536        16.0267      1729        19.9639             60        15848.9    3.75163e+08             30    3.16228e+06    7.48549e+10
    6246017        89.8453     46056        1.61005     34067         1.4297            285         158489    3.75163e+09            215    3.16228e+06    7.48549e+10
    6415983        3.35599     47310        385.493     33117        2.07676            295        398.107    9.42367e+06            210    1.25892e+06    2.98003e+10
    2480087        113.698     18278        5.64633     37525              0            125    1.58489e+06    3.75163e+10            235    1.99526e+06    4.72302e+10
     340537        99.7625      2508         34.663      9595              0             35          1e+06    2.36712e+10             75    3.16228e+06    7.48549e+10
    6007231        89.8588     44289        1.59019     48925        1.08818            275         125892    2.98003e+09            300    3.16228e+06    7.48549e+10
    4995595        4.20268     36841          301.1     13889        4.93122            235        501.187    1.18637e+07            100    1.25892e+06    2.98003e+10
    2135174        23.7063     15732        7476.52     42674        2.00147            115            100    2.36712e+06            265         630957    1.49355e+10
    2031309        17.7336     14972        687.796     26999        2.81133            110        398.107    9.42367e+06            175    1.25892e+06    2.98003e+10
     647892        47.9293      4769        38.8837     25004              0             50        12589.2    2.98003e+08            165        63095.7    1.49355e+09
     527229        47.1898      3876        50.4495     32775       0.306153             45          10000    2.36712e+08            210        19952.6    4.72302e+08
     871629        63.8398      6422        38.6551     17879        6.96783             60        3981.07    9.42367e+07            125        12589.2    2.98003e+08
      63643        33.4917       456        85.7792     34561        1.29496             25        25118.9    5.94594e+08            220        31622.8    7.48549e+08
     987297        6.76612      7277        50.9274     13091        4.96489             65        3162.28    7.48549e+07             95    3.16228e+06    7.48549e+10
